City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Tselinnoye,RU,53.0833,85.6667,45.43,58,100,13.58,overcast clouds
222,Lebu,CL,-37.6167,-73.65,53.2,80,69,4.65,broken clouds
223,Yenagoa,NG,4.9247,6.2642,75.9,94,99,4.34,overcast clouds
224,Asau,RO,46.4333,26.4,47.32,70,67,2.75,broken clouds
225,Torbay,CA,47.6666,-52.7314,48.16,76,42,7.0,scattered clouds
226,Vila,PT,42.0304,-8.1588,54.48,89,53,3.31,broken clouds
227,Harwich,GB,51.9419,1.2844,50.25,78,76,5.95,broken clouds
228,Mount Gambier,AU,-37.8333,140.7667,58.17,52,100,9.08,overcast clouds
229,Saint-Joseph,RE,-21.3667,55.6167,66.58,74,30,11.21,scattered clouds
230,Dingle,PH,10.9995,122.6711,75.42,89,100,1.95,overcast clouds
231,Richards Bay,ZA,-28.783,32.0377,74.64,72,65,11.27,broken clouds
232,Noumea,NC,-22.2763,166.4572,82.38,99,82,7.2,broken clouds
233,Griffith,US,41.5284,-87.4237,60.12,94,100,14.97,moderate rain
234,Tual,ID,-5.6667,132.75,81.68,77,100,3.96,overcast clouds
235,Madera,US,37.1666,-119.8343,93.07,18,0,5.01,clear sky
236,Quthing,LS,-30.4,27.7003,70.74,28,94,5.28,overcast clouds
237,Isangel,VU,-19.55,169.2667,82.51,74,75,4.61,broken clouds
238,Saskylakh,RU,71.9167,114.0833,26.65,97,99,6.55,overcast clouds
239,Lulea,SE,65.5842,22.1547,39.27,87,21,3.44,few clouds
240,Saint George,US,37.1041,-113.5841,86.43,18,0,12.66,clear sky
241,Tombouctou,ML,20.0,-3.0,88.54,14,2,4.18,clear sky
242,Henties Bay,NA,-22.116,14.2845,57.42,95,11,8.72,few clouds
243,Aykhal,RU,66.0,111.5,31.39,99,100,7.74,overcast clouds
244,Bambanglipuro,ID,-7.95,110.2833,75.97,90,100,4.68,overcast clouds
245,Kitimat,CA,54.0524,-128.6534,54.91,61,90,1.99,overcast clouds
246,Pacific Grove,US,36.6177,-121.9166,68.38,86,40,11.5,scattered clouds
247,Marzuq,YE,14.4,46.4667,70.03,62,0,3.2,clear sky
248,Tres Picos,MX,15.8667,-93.5333,81.61,84,100,9.6,overcast clouds
249,Bongandanga,CD,1.5,21.05,68.9,99,95,1.54,light rain
250,Klaksvik,FO,62.2266,-6.589,50.92,98,100,23.2,overcast clouds
251,Ancud,CL,-41.8697,-73.8203,50.4,94,97,11.05,light rain
252,Shunyi,CN,40.125,116.6453,37.35,93,0,0.0,clear sky
253,Takoradi,GH,4.8845,-1.7554,76.86,85,39,6.13,scattered clouds
254,Sembe,CG,1.6481,14.5806,71.33,95,100,1.14,overcast clouds
255,Sola,VU,-13.8833,167.55,80.76,71,89,4.03,overcast clouds
256,Swan Hill,AU,-35.3378,143.5544,63.14,75,100,15.9,light rain
257,Gongzhuling,CN,43.5008,124.8198,39.24,64,7,7.34,clear sky
258,Tommot,RU,58.9564,126.2925,24.3,96,94,2.75,overcast clouds
259,Tarancon,ES,40.0085,-3.0073,61.97,61,96,6.69,overcast clouds
260,Severo-Kurilsk,RU,50.6789,156.125,50.25,88,72,18.41,broken clouds
261,Oktyabrskiy,RU,54.4815,53.471,49.86,56,100,3.98,overcast clouds
262,Chauk,MM,20.8833,94.8167,75.63,88,50,5.61,scattered clouds
263,Provideniya,RU,64.3833,-173.3,32.36,74,100,8.99,overcast clouds
264,Antsohihy,MG,-14.8796,47.9875,69.78,67,0,5.82,clear sky
265,Sokolo,ML,14.7328,-6.1219,87.96,42,81,10.33,broken clouds
266,Itupiranga,BR,-5.1347,-49.3267,84.52,58,86,2.35,overcast clouds
267,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,100,14.97,light snow
268,Port Hedland,AU,-20.3167,118.5667,71.65,46,1,9.22,clear sky
269,Manado,ID,1.487,124.8455,74.17,100,40,2.3,scattered clouds
270,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,40,8.05,scattered clouds
271,Naze,JP,28.3667,129.4833,72.52,68,87,14.81,overcast clouds
272,Alenquer,BR,-1.9417,-54.7383,86.32,50,74,6.64,broken clouds
273,Yarmouth,US,41.7057,-70.2286,59.11,79,0,5.75,clear sky
274,Iqaluit,CA,63.7506,-68.5145,24.53,85,100,4.61,light snow
275,Progreso,MX,21.2833,-89.6667,86.11,85,100,16.67,overcast clouds
276,Golub-Dobrzyn,PL,53.1109,19.0538,45.57,71,6,5.75,clear sky
277,Pevek,RU,69.7008,170.3133,25.43,84,100,21.83,light snow
278,Ulverstone,AU,-41.15,146.1667,59.22,89,100,14.09,light rain
279,Alanya,TR,36.5438,31.9998,66.33,49,99,3.36,overcast clouds
280,Krasnoznamensk,RU,55.5994,37.0386,38.7,87,29,4.47,scattered clouds
281,Ust-Kuyga,RU,70.0167,135.6,3.02,96,17,7.61,few clouds
282,Athni,IN,16.7333,75.0667,72.19,94,100,3.87,moderate rain
283,Norman Wells,CA,65.282,-126.8329,32.04,80,75,13.8,broken clouds
284,La Tuque,CA,47.4334,-72.7824,53.85,43,63,4.61,broken clouds
285,Huilong,CN,31.8111,121.655,61.93,69,0,8.55,clear sky
286,Phalaborwa,ZA,-23.943,31.1411,74.48,47,0,2.68,clear sky
287,Nanortalik,GL,60.1432,-45.2371,33.51,78,34,8.16,scattered clouds
288,Dong Xoai,VN,11.5333,106.9167,72.72,95,100,4.52,overcast clouds
289,Zlitan,LY,32.4674,14.5687,77.14,64,10,6.06,clear sky
290,Opuwo,NA,-18.0607,13.84,73.08,34,97,5.46,overcast clouds
291,Koumac,NC,-20.5667,164.2833,77.59,65,94,0.34,overcast clouds
292,Namatanai,PG,-3.6667,152.4333,83.52,66,88,4.97,overcast clouds
293,Mjolby,SE,58.326,15.1237,42.08,80,12,7.18,few clouds
294,La Ronge,CA,55.1001,-105.2842,48.45,46,75,18.41,smoke
295,Snasa,NO,64.2457,12.3778,40.41,84,95,12.5,overcast clouds
296,Ponta Delgada,PT,37.7333,-25.6667,71.51,83,75,3.44,broken clouds
297,Sokoto,NG,13.0609,5.239,83.79,31,8,1.25,clear sky
298,Tabora,TZ,-5.0167,32.8,74.39,28,77,6.82,broken clouds
299,Reggio Di Calabria,IT,38.1105,15.6613,68.81,81,20,5.75,few clouds
300,Clyde,US,41.3042,-82.9752,71.19,40,95,11.7,overcast clouds
301,Kainantu,PG,-6.2887,145.8655,64.13,90,92,1.79,overcast clouds
302,Srednekolymsk,RU,67.45,153.6833,12.96,79,21,4.52,few clouds
303,Waipawa,NZ,-41.4122,175.5153,50.5,71,100,6.87,overcast clouds
304,Sindor,RU,62.8629,51.8905,41.77,94,100,4.14,overcast clouds
305,Barcelona,ES,41.3888,2.159,67.32,80,20,8.05,few clouds
306,Dhemaji,IN,27.4833,94.5833,71.76,96,100,0.65,overcast clouds
307,Bluefield,US,37.2698,-81.2223,66.06,60,0,5.75,clear sky
308,Tiksi,RU,71.6872,128.8694,21.61,81,100,19.33,overcast clouds
309,Toktogul,KG,41.8708,72.9402,54.0,13,0,0.98,clear sky
310,Adeje,ES,28.1227,-16.726,72.57,73,40,13.8,scattered clouds
311,Talnakh,RU,69.4865,88.3972,34.21,93,100,9.64,overcast clouds
312,Antofagasta,CL,-23.65,-70.4,58.28,74,15,9.06,few clouds
313,Derzhavinsk,KZ,51.1,66.3167,46.94,45,56,5.93,broken clouds
314,Lorengau,PG,-2.0226,147.2712,82.02,59,100,4.5,overcast clouds
315,Wewak,PG,-3.5534,143.6268,80.08,82,100,2.17,overcast clouds
316,Port Blair,IN,11.6667,92.75,75.24,100,40,1.14,mist
317,Samur,RU,41.8253,48.486,59.16,67,98,3.29,overcast clouds
318,Kruisfontein,ZA,-34.0033,24.7314,62.89,91,99,5.03,overcast clouds
319,Brokopondo,SR,4.75,-55.1667,78.06,84,55,16.8,heavy intensity rain
320,Itacarambi,BR,-15.1022,-44.0919,83.05,23,39,4.09,scattered clouds
321,Divnogorsk,RU,55.9594,92.3619,41.74,91,100,10.49,light rain
322,Yulara,AU,-25.2406,130.9889,73.47,22,78,6.93,broken clouds
323,Steamboat Springs,US,40.485,-106.8317,64.54,22,100,16.11,overcast clouds
324,Dicabisagan,PH,17.0818,122.4157,77.18,95,100,9.44,heavy intensity rain
325,Itarema,BR,-2.9248,-39.9167,79.29,78,73,16.64,broken clouds
326,Terra Nova,BR,-12.3667,-40.6667,75.49,47,6,12.26,clear sky
327,Tolaga Bay,NZ,-38.3667,178.3,57.04,88,100,7.9,overcast clouds
328,Serpa,PT,37.9458,-7.5975,64.36,48,54,1.16,broken clouds
329,Tolbazy,RU,54.0241,55.8825,50.65,47,100,7.18,overcast clouds
330,Ngunguru,NZ,-35.6167,174.5,60.58,67,100,6.15,overcast clouds
331,Camacha,PT,33.0833,-16.3333,67.42,64,40,11.5,scattered clouds
